"Sample"	"Sigma 1"	"Sigma 2"	"Lambda"	"Tau"	"LogLikelihood"
0	0	0	0	0	0
100	9.40152477372809	20.569812804847	3.29860479080984	13.0795812660334	12.8036090465293
200	0.49723932945337	13.3308777121763	5.0532128878719	18.8929869069199	23.2245059366592
300	0.395599836461864	38.2610166695189	5.0532128878719	20.9768464980733	23.1471832706505
400	1.55658275529952	7.11441942991054	2.80766462580083	24.3885981662146	23.0266404601546
500	1.07280202290848	6.34279397651582	1.66427724238866	35.1575053155846	23.9860615699808
600	1.21133924963208	9.06196475110763	1.63652832103635	39.6498568147664	19.5081894106417
700	4.84078377381098	4.01374694717164	0.571319197874078	69.9681040914444	21.0071943067718
800	8.42132722101998	3.29221619031955	1.73066767538423	44.4796217287969	19.8798816815416
900	11.8284240024341	1.77120914762925	0.523223085827063	158.922980867559	22.1657926970686
1000	0.30751855570893	44.015481152404	0.466630476745461	191.626062028688	25.2671207638791
1100	0.27543798322339	47.3136313266447	0.170967356932747	393.754823523738	25.5406310512203
1200	0.260313538999191	39.0144337503881	0.102833739988329	759.064773940928	24.4684476151001
1300	0.1296573106457	31.3203744743604	0.140250486326574	755.549736157012	25.4688137054782
1400	0.156581165038083	11.9666154777588	0.285743765579402	364.22036458683	26.2084543739885
1500	0.228339248965069	15.2624973509065	0.114929504735674	702.490885321143	27.6487760614044
1600	5.70054353272848	1.85725709448665	0.36146436589412	232.975283519769	25.8991424025743
1700	2.28817513944333	2.4310563566238	1.80875877586001	46.4583891091371	23.639053674021
